Name,Ethnicon_1,Ethnicon_2,Ethnicon_3,Characterization,Note,Work,Sub_Work,Note_Work,Passage,Book,Casaubon_Reference,Kaibel_Reference,Asterisk,Note_Reference,Is_Range
ACESIAS,,,,,"v.l. Ἀκέστιος",Ὀψαρτυτικά,,,,12,12.516c,12.11@12.12,,,
ACHAEVS,Eretriensis,,,,,Ἆθλα,,,"fr. 3",10,10.417f,10.11,,,
ACHAEVS,Eretriensis,,,,,Ἆθλα,,,"fr. 3",10,10.418a,10.11,,,
ACHAEVS,Eretriensis,,,,,Ἆθλα,,,"fr. 5",15,15.689b,15.38@15.39,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 6",6,6.270b,6.99,,,"range start"
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 6",6,6.270c,6.99,,,"range end"
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 7",9,9.368a,9.5,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 8",9,9.376a,9.18,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 9",10,10.427c,10.29@10.30,,,
ACHAEVS,Eretriensis,,,,,"Αἴθων σατυρικός",,,"fr. 10",15,15.690b,15.41,,,
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 12",4,4.173c,4.73@4.74,,,"range start"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 12",4,4.173d,4.74,,,"range end"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 13",4,4.173d,4.74,,,"range start"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 13",4,4.173e,4.74,,,"range end"
ACHAEVS,Eretriensis,,,,,"Ἀλκμαίων σατυρικός",,,"fr. 14",11,11.480f,11.61,,,
ACHAEVS,Eretriensis,,,,,Ἥφαιστος,,,"fr. 17",14,14.641d,14.48,,,
ACHAEVS,Eretriensis,,,,,"Ἶρις σατυρική",,,"fr. 19",10,10.451c,10.74,,,"range start"
ACHAEVS,Eretriensis,,,,,"Ἶρις σατυρική",,,"fr. 19",10,10.451d,10.74,,,"range end"
ACHAEVS,Eretriensis,,,,,Κύκνος,,,"fr. 25",6,6.270e,6.99@6.100,,,
ACHAEVS,Eretriensis,,,,,Λίνος,,,"fr. 26",15,15.668a,15.6,,,"range start"
ACHAEVS,Eretriensis,,,,,Λίνος,,,"fr. 26",15,15.668b,15.6,,,"range end"
ACHAEVS,Eretriensis,,,,,Μοῖραι,,,"fr. 27",7,7.277b,7.5,,,
ACHAEVS,Eretriensis,,,,,Ὀμφάλη,,,"fr. 32",6,6.267d,6.93,,,
ACHAEVS,Eretriensis,,,,,Ὀμφάλη,,,"fr. 33",11,11.466e,11.30,,,"range start"
ACHAEVS,Eretriensis,,,,,Ὀμφάλη,,,"fr. 33",11,11.466f,11.30,,,"range end"
ACHAEVS,Eretriensis,,,,,Ὀμφάλη,,,"fr. 33",11,11.498d,11.99,,,"range start"
ACHAEVS,Eretriensis,,,,,Ὀμφάλη,,,"fr. 33",11,11.498e,11.99,,,"range end"
ACHAEVS,Eretriensis,,,,,"fab. inc.",,,"fr. 4",10,10.414c,10.6,,,"range start"
ACHAEVS,Eretriensis,,,,,"fab. inc.",,,"fr. 4",10,10.414d,10.6@10.7,,,"range end"
ACHAEVS,Eretriensis,,,,,"fab. inc.",,,"fr. 39",1,1.31a,1.56,,,
ACHAEVS,Eretriensis,,,,,"fab. inc.",,,"fr. 40",2,2.63b,2.63,,,
ADAEVS,"Mitylenaeus (13.606a)",,,,,"ἐν τοῖς περὶ Διαθέσεως",,,,11,11.471f,11.42@11.43,,,
ADAEVS,"Mitylenaeus (13.606a)",,,,,"ἐν τῷ περὶ Ἀγαλματοποιῶν",,,,13,13.606a,13.84,,,
ADRASTVS,,,,,,"πέντε βιβλία Περὶ τῶν παρὰ Θεοφράστῳ ἐν τοῖς περὶ Ἠθῶν, καθ᾽ ἱστορίαν καὶ λέξιν ζητουμένων, ἕκτον δὲ Περὶ τῶν ἐν τοῖς Ἠθικοῖς Νικομαχείοις Ἀριστοτέλους",,,,15,15.673e,15.15,,,
AEGIMIVS,,,,,,"Πλακουντοποιικὸν σύγγραμμα",,,,14,14.643f,14.51,,,
"AELIVS ASCLEPIADES",,,,,,"ἐκ τῶν ἐπιγραφομένων Στεφάνων",,,,15,15.676f,15.19,,,
"AELIVS ASCLEPIADES",,,,,,"ἐκ τῶν ἐπιγραφομένων Στεφάνων",,,,15,15.679b,15.23@15.24,,,
AESCHINES,"ὁ Κοθωκίδης (6.223d)",,,"ῥήτωρ (6.223d)",,"ἐν τῷ κατὰ Τιμάρχου λόγῳ",,,41,8,8.339b,8.21@8.22,,,"range start"
AESCHINES,"ὁ Κοθωκίδης (6.223d)",,,"ῥήτωρ (6.223d)",,"ἐν τῷ κατὰ Τιμάρχου λόγῳ",,,41,8,8.339c,8.22,,,"range end"
AESCHINES,"ὁ Κοθωκίδης (6.223d)",,,"ῥήτωρ (6.223d)",,"ἐν τῷ κατὰ Τιμάρχου λόγῳ",,,75,13,13.572c,13.30,,,
AESCHINES,"ὁ Κοθωκίδης (6.223d)",,,"ῥήτωρ (6.223d)",,Ctesiphont.,,,83,6,6.223d,6.2@6.3,,,"range start"
AESCHINES,"ὁ Κοθωκίδης (6.223d)",,,"ῥήτωρ (6.223d)",,Ctesiphont.,,,83,6,6.223e,6.3,,,"range end"
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,"de dialogis eius",,"εἰ μὴ Σωκράτους ἐστὶ συγγράμματα (auctore Idomeneo)",,13,13.611d,13.93,,,
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,"ἐν Ἀλκιβιάδη",,,"p. 21 H",14,14.656f,14.74,,,
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,"ἐν τῷ Ἀξιόχῳ",,,"p. 20",5,5.220c,5.62@5.63,,,
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,"ἐν τῇ Ἀσπασίᾳ",,,"p. 16",5,5.220b,5.62,,,
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,Καλλίας,,,"p. 12",5,5.220b,5.62,,,"range start"
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,Καλλίας,,,"p. 12",5,5.220c,5.62@5.63,,,"range end"
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,"ἐν τῷ Τηλαυγέι",,,"p. 25",5,5.220a,5.61@5.62,,,
AESCHINES,,,,"ὁ Σωκρατικός (5.220a)",,,,,,0,,,,"vide ANTISTHENES",
AESCHRIO,"ὁ Σάμιος (8.335c)",,,ἰαμβοποιός,,"ἐν τινι τῶν Ἰάμβων",,,"fr. 6",7,7.296e,7.47@7.48,,,"range start"
AESCHRIO,"ὁ Σάμιος (8.335c)",,,ἰαμβοποιός,,"ἐν τινι τῶν Ἰάμβων",,,"fr. 6",7,7.296f,7.48,,,"range end"
AESCHRIO,"ὁ Σάμιος (8.335c)",,,ἰαμβοποιός,,"ἐν τινι τῶν Ἰάμβων",,,"fr. 8",8,8.335c,8.13,,,"range start"
AESCHRIO,"ὁ Σάμιος (8.335c)",,,ἰαμβοποιός,,"ἐν τινι τῶν Ἰάμβων",,,"fr. 8",8,8.335d,8.13,,,"range end"
AESCHYLIDES,,,,,,"ἐν τρίτῳ Γεωργικῶν",,,,14,14.650d,14.63,,,
AESCHYLVS,,,,,,Ἀγαμέμνων,,,296,15,15.700e,15.60,,,
AESCHYLVS,,,,,,Ἀγαμέμνων,,,829,13,13.573b,13.31@13.32,,"cf. adn.",
AESCHYLVS,,,,,,Ἀγαμέμνων,,,916?,13,13.573b,13.31@13.32,,"cf. adn.",
AESCHYLVS,,,,,,Ἀθάμας,,,"fr. 1",2,2.37f,2.6,,,
AESCHYLVS,,,,,,Ἀθάμας,,,"fr. 1",7,7.316b,7.100,,,
AESCHYLVS,,,,,,Ἀμυμώνη,,,"fr. 14",15,15.690c,15.41,,,
AESCHYLVS,,,,,,"Γλαῦκος Πόντιος",,,"fr. 34",3,3.87a,3.33,,,
AESCHYLVS,,,,,,Δαναίδες,,,"fr. 44",13,13.600a,13.73,,,"range start"
AESCHYLVS,,,,,,Δαναίδες,,,"fr. 44",13,13.600b,13.73@13.74,,,"range end"
AESCHYLVS,,,,,,Ἠδωνοί,,,"fr. 57,6",11,11.479b,11.57,,,
AESCHYLVS,,,,,,Ἡλιάδες,,,"fr. 69",11,11.469f,11.38@11.39,,,
AESCHYLVS,,,,,,Ἡλιάδες,,,"fr. 72",10,10.424d,10.23@10.24,,,
AESCHYLVS,,,,,,Θεωροί,,,"fr. 79",14,14.629f,14.27,,,
AESCHYLVS,,,,,,Ἰξίων,,,"fr. 91",4,4.177a,4.79,,,
AESCHYLVS,,,,,,Ἰξίων,,,"fr. 91",4,4.182c,4.79@4.80,,,
AESCHYLVS,,,,,,Κάβιροι,,,,10,10.428f,10.33,,,
AESCHYLVS,,,,,,Κάβιροι,,,"fr. 95",9,9.373d,9.15,,,
AESCHYLVS,,,,,,Κρῆσσαι,,,"fr. 116",2,2.51c,2.36,,,
AESCHYLVS,,,,,,Λυκοῦργος,,,"fr. 124",10,10.447c,10.67,,,
AESCHYLVS,,,,,,Μυρμιδόνες,,,"fr. 135",13,13.602e,13.79,,"cf. 601a",
AESCHYLVS,,,,,,Μυρμιδόνες,,,"Myrm. fr. 139,4",11,11.494b,11.85@11.86@11.87,,,
AESCHYLVS,,,,,,Νεανίσκοι,,,"fr. 146",11,11.503c,11.109,,,
AESCHYLVS,,,,,,Ὀστολόγοι,,,"fr. 179",15,15.667c,15.5,,"cf. 11.782e","range start"
AESCHYLVS,,,,,,Ὀστολόγοι,,,"fr. 179",15,15.667d,15.5,,"cf. 11.782e","range end"
AESCHYLVS,,,,,,Ὀστολόγοι,,,,0,,,,"v. fab. incert. fragmenta",
AESCHYLVS,,,,,,Παλαμήδης,,,"fr. 182",1,1.11d,1.19,,,
AESCHYLVS,,,,,,Περραιβίδες,,,"fr. 184",11,11.499a,11.99,,"v. Πέρσαι",
AESCHYLVS,,,,,,Περραιβίδες,,,"fr. 185",11,11.476c,11.51,,"v. Πέρσαι",
AESCHYLVS,,,,,,Πέρσαι,,"Περραιβίδες coni","fab. inc. fr. 285",3,3.86b,3.31@3.32,,,
AESCHYLVS,,,,,,"Προμηθεὺς Δεσμώτης",,,297,4,4.165c,4.59,,,
AESCHYLVS,,,,,,"Προμηθεὺς Δεσμώτης",,,814,8,8.347c,8.38,,,
AESCHYLVS,,,,,,"Προμηθεὺς Λυόμενος",,,"fr. 202",15,15.674d,15.16,,,
AESCHYLVS,,,,,,"Πρωτεὺς σατυρικός",,,"fr. 210",9,9.394a,9.50,,,
AESCHYLVS,,,,,,"Πρωτεὺς σατυρικός",,,"fr. 211",2,2.67c,2.75@2.76,*,,
AESCHYLVS,,,,,,Σφίγξ,,,"fr. 235",15,15.674d,15.16,,,"range start"
AESCHYLVS,,,,,,Σφίγξ,,,"fr. 235",15,15.674e,15.16,,,"range end"
AESCHYLVS,,,,,,Φιλοκτήτης,,,"fr. 257",9,9.394a,9.50,,,
AESCHYLVS,,,,,,Φινεύς,,,"fr. 258",10,10.421f,10.18,,,
AESCHYLVS,,,,,,Φορκίδες,,,"fr. 261",9,9.402b,9.65,,,
AESCHYLVS,,,,,,Φρύγες,,,"fr. 264",2,2.51c,2.36,,,
AESCHYLVS,,,,,,"fab. incert.",,,"Ostologorum fr. 180",1,1.17c,1.29@1.30,,,
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 285",3,3.86b,3.31@3.32,,"v. Πέρσαι",
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 307",7,7.303c,7.66@7.67,,,
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 308",7,7.303c,7.66@7.67,,,
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 309",9,9.375d,9.17,,,"range start"
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 309",9,9.375e,9.17,,,"range end"
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 310",9,9.375d,9.17,,,"range start"
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 310",9,9.375e,9.17,,,"range end"
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 311",9,9.375d,9.17,,,"range start"
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 311",9,9.375e,9.17,,,"range end"
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 313",12,12.528c,12.36@12.37,,,
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 314",14,14.632c,14.32,,,
AESCHYLVS,,,,,,"fab. incert.",,,"fr. 393",10,10.427f,10.31,,"omisso poetae nomine; Aeschyli non puto esse versiculum",
AESCHYLVS,,,,,,"fab. incert.",,,fr.406,3,3.99b,3.54@3.55,,,
AESCHYLVS,,,,,,"fab. incert.",,,fr.424,8,8.363a,8.64,,,
AESCHYLVS,,,,,,"Aeschyli epitaphium ab ipso scriptum",,,"fr. 4 Bergk",14,14.627c,14.23,,,"range start"
AESCHYLVS,,,,,,"Aeschyli epitaphium ab ipso scriptum",,,"fr. 4 Bergk",14,14.627d,14.23@14.24,,,"range end"
AESCHYLVS,Alexandrinus,,,,,Ἀμφιτρύων,,,"fr. 1",13,13.599e,13.72,,,
AESCHYLVS,Alexandrinus,,,,,"Μεσσηνιακὰ Ἔπη",,,,13,13.599e,13.72,,,
AESOPVS,,,,"ὁ λογοποιὸς ἤ ἄλλος τις",,"interrogatio Apollinis Pythii",,,,5,5.219a,5.60@5.61,,,
AETHLIVS,Samius,,,,,"ἐν πέμπτῳ Σαμίων Ὥρων",,,"fr. 2",14,14.653f,14.68,,"cf. 650d",
AGALLIS,Corcyraea,,,grammatica,,"libri incerti",,,,1,1.14d,1.24@1.25,,,
AGATHARCHIDES,Cnidius,,,,,Ἀσιατικά,"ἐν ὀγδόη Ἀσιατικῶν",,"fr. 16",4,4.155c,4.42,,,"range start"
AGATHARCHIDES,Cnidius,,,,,Ἀσιατικά,"ἐν ὀγδόη Ἀσιατικῶν",,"fr. 16",4,4.155d,4.42,,,"range end"
AGATHARCHIDES,Cnidius,,,,,Ἀσιατικά,"ἐν τῷ δεκάτῳ περὶ Ἀσίας",,"fr. 18",12,12.539b,12.55,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν ἕκτη",,"fr. 1",7,7.297d,7.50,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν ιβʹ Ἱστοριῶν","Ἱστορίαι sine dubio sunt τὰ Εὐρωπιακά, neque minus haec intellegenda ubi titulus omittitur","fr. 2",12,12.527b,12.33,,,"range start"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν ιβʹ Ἱστοριῶν","Ἱστορίαι sine dubio sunt τὰ Εὐρωπιακά, neque minus haec intellegenda ubi titulus omittitur","fr. 2",12,12.527c,12.33@12.34,,,"range end"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ ιςʹ",,"fr. 3",12,12.550b,12.73@12.74,,,"range start"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ ιςʹ",,"fr. 3",12,12.550c,12.74,,,"range end"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ ιθʹ τῶν Εὐρωπιακῶν",,"fr. 4",14,14.650f,14.64,,,"range start"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ ιθʹ τῶν Εὐρωπιακῶν",,"fr. 4",14,14.651a,14.64,,,"range end"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ κβʹ",,"fr. 5",6,6.246e,6.49,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"διὰ τῆς κζʹ",,"fr. 6",12,12.550c,12.74,,"cf. adn. ad litt. d","range start"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"διὰ τῆς κζʹ",,"fr. 6",12,12.550d,12.74,,"cf. adn. ad litt. d",range
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"διὰ τῆς κζʹ",,"fr. 6",12,12.550e,12.74,,"cf. adn. ad litt. d","range end"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ κηʹ",,"fr. 7",4,4.168d,4.66,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ λʹ Ἱστοριῶν",,"fr. 8",6,6.251f,6.59,,,"range start"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ λʹ Ἱστοριῶν",,"fr. 8",6,6.252a,6.59@6.60,,,"range end"
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ λαʹ τῶν Εὐρωπιάκῶν",,"fr. 9",12,12.528a,12.35@12.36,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ λδʹ",,"fr. 10",9,9.387c,9.37@9.38,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ λεʹ",,"fr. 11",12,12.527f,12.35,,,
AGATHARCHIDES,Cnidius,,,,,Εὐρωπιακά,"ἐν τῇ ληʹ",,"fr. 12",6,6.272d,6.103@6.104,,,
AGATHARCHIDES,Cnidius,,,,,"libri incerti",,,"fr. 13",1,1.28d,1.50@1.51,,,
AGATHOCLES,Atracius,,,,,Ἁλιευτικά,,,,1,1.13c,1.22,,,
AGATHOCLES,"Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)",,,,"περὶ Κυζίκου","ἐν πρώτῳ",,"fr. 2",9,9.375f,9.17@9.18,,,"range start"
AGATHOCLES,"Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)",,,,"περὶ Κυζίκου","ἐν πρώτῳ",,"fr. 2",9,9.376a,9.18,,,"range end"
AGATHOCLES,"Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)",,,,"περὶ Κυζίκου","ἐν τρίτῳ",,"fr. 5",12,12.515a,12.9@12.10,,,
AGATHOCLES,"Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)",,,,"περὶ Κυζίκου","ἐν γʹ τῶν περὶ τῆς πατρίδος",,"fr. 6",14,14.649f,14.62,,,
AGATHOCLES,"Cyzicenus (14.649f)","Babylonius (1.30a, 9.375f)",,,,"περὶ Κυζίκου","libri incerti",,"fr. 4",1,1.30a,1.54,,,
AGATHO,,,,tragicus,,Θυέστης,,,"fr. 3",12,12.528d,12.37,,,
AGATHO,,,,tragicus,,Τήλεφος,,,"fr. 4",10,10.454d,10.80,,,
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 11",5,5.185a,5.1,,,"range start"
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 11",5,5.185b,5.1,,,"range end"
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 12",5,5.211e,5.47@5.48,,,
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 13",10,10.445c,10.64,,,
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 14",13,13.584a,13.46,,,"range start"
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 14",13,13.584b,13.46@13.47,,,"range end"
AGATHO,,,,tragicus,,"fab. incert.",,,"fr. 15",15,15.701b,15.60@15.62,,,
AGELOCHVS,,,,grammaticus,"Ἀμφίλοχος coni","libri incerti",,,,2,2.54d,2.43,,,
AGIAS,"Argivus (13.610c, cf. adn.)",,,,,"ἐν Ἀργολικοῖς",,,"fr. 1",3,3.86f,3.32@3.33,,,
AGIAS,"Argivus (13.610c, cf. adn.)",,,,,"Ἰλίου Περσὶς",,,,13,13.610c,13.91,,,
AGIAS,,,,"ὁ μουσικός",,,,,,14,14.626f,14.22@14.23,,,
AGIS,,,,,,Ὀψαρτυτικά,,,,12,12.516c,12.11@12.12,,,
AGLAOSTHENES,Naxius,,,,,"Libri incerti",,,"fr. 5",3,3.78c,3.14,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ δεκάτῳ",,"fr. 43",11,11.481a,11.61@11.62,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ ..",,"fr. 41",11,11.480f,11.61,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ ..",,"fr. 41",11,11.481b,11.62,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ ..",,"fr. 41",10,10.429f,10.34@10.35,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ ..",,"fr. 41",10,10.430a,10.35,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ ..",,"fr. 41",10,10.430c,10.35,,,"range start"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,,"ἐν τῷ ..",,"fr. 41",10,10.430d,10.35@10.36,,,"range end"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 8",10,10.425c,10.25,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 15",14,14.627a,14.23,,,"range start"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 15",14,14.627b,14.23,,,"range end"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 20",10,10.430c,10.35,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 34",10,10.430a,10.35,,,"range start"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 34",10,10.430b,10.35,,,"range end"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 35",10,10.430b,10.35,,,"range start"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 35",10,10.430c,10.35,,,"range end"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 36",15,15.674c,15.16,,"cf. 678d","range start"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 36",15,15.674d,15.16,,"cf. 678d","range end"
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 36",15,15.687d,15.35@15.36,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 39",1,1.22e,1.41,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 39",10,10.430b,10.35,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 40",1,1.22f,1.41,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 44",10,10.430c,10.35,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 45",10,10.430b,10.35,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 47",2,2.38e,2.7,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 51",3,3.85f,3.31,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 52",11,11.460c,11.2,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 57",2,2.37e,2.5@2.6,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 107",7,7.311a,7.86,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"sedis incertae",,,"fr. 151",3,3.73e,3.4,,,
ALCAEVS,"Mitylenaeus (passim)",,,"ὁ μελοποιός (passim)",,"Alcaei scolia",,,,15,15.693f,15.48@15.49,,,
ALCAEVS,,,,comicus,,"Ἀδελφαὶ Μοιχευόμεναι",,,"fr. 1",7,7.316b,7.100,,,
ALCAEVS,,,,comicus,,Γανυμήδης,,,"fr. 5",3,3.110a,3.74,,,
ALCAEVS,,,,comicus,,Γανυμήδης,,,"fr. 9",10,10.445e,10.64,,,
ALCAEVS,,,,comicus,,"Ἱερὸς Γάμος",,,"fr. 15",10,10.424d,10.23@10.24,,,"range start"
ALCAEVS,,,,comicus,,"Ἱερὸς Γάμος",,,"fr. 15",10,10.424e,10.24,,,"range end"
ALCAEVS,,,,comicus,,"Ἱερὸς Γάμος",,,"fr. 16",9,9.408e,9.75,,,
ALCAEVS,,,,comicus,,Καλλιστώ,,,"fr. 17",9,9.399f,9.61,,,
ALCAEVS,,,,comicus,,Παλαίστρα,,,,15,15.691b,15.42@15.43,,,
ALCAEVS,,,,comicus,,Παλαῖστραι,,,"fr. 22",9,9.396c,9.54,,,
ALCAEVS,,,,comicus,,Παλαῖστραι,,,"fr. 23",15,15.691b,15.42@15.43,,,
ALCAEVS,,,,comicus,,Παλαῖστραι,,,"fr. 24",9,9.370f,9.10@9.11,,,
ALCAEVS,,,,comicus,,Παλαῖστραι,,,"fr. 25",3,3.107f,3.70,,,
ALCAEVS,,,,comicus,,"fab. incert.",,,"fr. 36",7,7.316c,7.100@7.101,,,
ALCETAS,,,,,,"ἐν βʹ Περὶ τῶν ἐν Δελφοῖς ἀναθημάτων",,,"fr. 1",13,13.591c,13.59@13.60,,,
ALCIDAMAS,"ὁ Ἐλαίτης",,,,,"Ἐγκώμιον Ναίδος τῆς ἑταίρας",,,"fr. 3",13,13.592c,13.62,,,
ALCIMVS,"ὁ Σικελιώτης (10.441a)",,,,,"ἐν τοῖς Σικελικοῖς",,,"fr. 1",7,7.322a,7.118,,,
ALCIMVS,"ὁ Σικελιώτης (10.441a)",,,,,"ἐν τῇ ἐπιγραφομένη τῶν βίβλων Ἰταλικὴ",,,"fr. 4",10,10.441a,10.56,,,"range start"
ALCIMVS,"ὁ Σικελιώτης (10.441a)",,,,,"ἐν τῇ ἐπιγραφομένη τῶν βίβλων Ἰταλικὴ",,,"fr. 4",10,10.441b,10.56@10.57,,,"range end"
ALCIMVS,"ὁ Σικελιώτης (10.441a)",,,,,"libri incerti",,,"fr. 5",12,12.518b,12.14,,,
ALCIPHRO,Magnes,,,"philosophus (12.518d adn.)",,,,,,12,12.518d,12.15,,adn.,
ALCIPHRO,"ὁ Μαιάνδριος",,,,,,,,,1,1.31d,1.57,,,
"ὁ τὴν ΑΛΚΜΑΙΩΝΙΔΑ ποιήσας",,,,,,,,,"fr. 2",11,11.460b,11.1@11.2,,,
ALCMAN,,,,,,,"ἐν τῷ τρίτῳ",,"fr. 33",10,10.416c,10.9@10.10,,,"range start"
ALCMAN,,,,,,,"ἐν τῷ τρίτῳ",,"fr. 33",10,10.416d,10.10,,,"range end"
ALCMAN,,,,,,,"ἐν τῷ εʹ",,"fr. 74b",3,3.110f,3.75,,,
