"Aeschylus","Atheniensis","","","Ἡλιάδες","","10","10.424d","",""
"Aeschylus","Atheniensis","","","Ἡλιάδες","","11","11.469f","",""
"Aeschylus","Atheniensis","","","Θεωροί","","14","14.629f","",""
"Aeschylus","Atheniensis","","","Ἰξίων","","4","4.177a","",""
"Aeschylus","Atheniensis","","","Ἰξίων","","4","4.182c","",""
"Aeschylus","Atheniensis","","","Κάβειροι","","9","9.373d","",""
"Aeschylus","Atheniensis","","","Κάβειροι","","10","10.428f","",""
"Aeschylus","Atheniensis","","","Κρῆσσαι","","2","2.51c","",""
"Aeschylus","Atheniensis","","","Λυκοῦργος","","10","10.447c","",""
"Aeschylus","Atheniensis","","","Μυρμιδόνες","","13","13.602e","",""
"Aeschylus","Atheniensis","","","Νεανίσκοι","","11","11.503c","",""
"Aeschylus","Atheniensis","","","Νεανίσκοι","","11","11.503d","",""
"Aeschylus","Atheniensis","","","Ὀστολόγοι","","15","15.667c","",""
"Aeschylus","Atheniensis","","","Περραιβίδες","","11","11.476c","",""
"Aeschylus","Atheniensis","","","Περραιβίδες","","11","11.499a","",""
"Aeschylus","Atheniensis","","","Πέρσαι","","3","3.86b","",""
"Aeschylus","Atheniensis","","","Προμηθεὺς δεσμώτης","","4","4.165c","",""
"Aeschylus","Atheniensis","","","Προμηθεὺς δεσμώτης","","8","8.347c","",""
"Aeschylus","Atheniensis","","","Προμηθεὺς λυόμενος","","15","15.674d","",""
"Aeschylus","Atheniensis","","","Πρωτεὺς τραγικός","","9","9.394a","",""
"Aeschylus","Atheniensis","","","Σφίγξ","","15","15.674d","",""
"Aeschylus","Atheniensis","","","Φιλοκτήτης","","9","9.394a","",""
"Aeschylus","Atheniensis","","","Φινεύς","","10","10.421f","",""
"Aeschylus","Atheniensis","","","Φορκίδες","","9","9.402b","",""
"Aeschylus","Atheniensis","","","Φρύγες","","1","1.21f","",""
"Aeschylus","Atheniensis","","","Φρύγες","","2","2.51c","",""
"Aeschylus","Atheniensis","","","epigramma quod sepulcro suo inscriptum voluit Aeschylus","","14","14.627c","",""
"Aeschylus","Atheniensis","","","epigramma quod sepulcro suo inscriptum voluit Aeschylus","","14","14.627d","",""
"Aeschylus","Atheniensis","","Aeschylus tragoedias suas perhibetur ebrius conscribere solitus","","","1","1.22a","",""
"Aeschylus","Atheniensis","","Aeschylus tragoedias suas perhibetur ebrius conscribere solitus","","","10","10.428f","",""
"Aeschylus","Atheniensis","","tragoedias suas aiebat esse reliquias magnarum Homeri coenarum","","","8","8.347e","",""
"Aeschylus","Atheniensis","","victus aliquando dixit posteritati se tragoedias suas consecrare ibid. multis usus est vocabulis Italicis, utpote in Sicilia aliquamdiu versatus","","","9","9.402c","",""
"Aethlius","Samius","","","Σαμίων ὼροι","","14","14.650d","",""
"Aethlius","Samius","","","Σαμίων ὼροι","","14","14.653f","",""
"Agallis","Corcyraea","grammatica","","","","1","1.14d","",""
"Agatharchides","Cnidius","","","Ἀσιατικά","ἐν ὀγδόῃ Ἀσιατικῶν","4","4.155c","",""
"Agatharchides","Cnidius","","","Ἀσιατικά","ἐν τῷ δεκάτῳ περὶ Ἀσίας","12","12.539b","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","ςʹ","7","7.297a","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","ιςʹ","12","12.550b","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","κβʹ","6","6.246e","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","κζʹ","12","12.550c","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","κηʹ","4","4.168e","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","λαʹ","12","12.528a","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","λδʹ","9","9.387c","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","λεʹ","12","12.527f","",""
"Agatharchides","Cnidius","","","Εὐρωπιακά","ληʹ","6","6.272c","",""
"Agatharchides","Cnidius","","","Ἱστορίαι","ιβʹ","12","12.527b","",""
"Agatharchides","Cnidius","","","Ἱστορίαι","ληʹ","6","6.251f","",""
"Agathocles","Atracius","","","Ἁλιευτικά","","1","1.13c","",""
"Agathocles","Babylonius","","","","","1","1.30a","",""
"Agathocles","Babylonius","","","","","9","9.375f","",""
"Agathocles","Cyzicenus","","","","","14","14.649f","",""
"Agathocles","","","","περὶ Κυζίκου","αʹ","9","9.375f","",""
"Agathocles","","","","περὶ Κυζίκου","γʹ","12","12.515a","",""
"Agathocles","","","","περὶ Κυζίκου","γʹ","14","14.649f","ubi Ἀγαθοκλῆς ὁ Κυζικηνὸς ἐν τρίτη τῶν περὶ τῆς πατρίδος",""
"Agathon","","tragicus","","","","5","5.185a","",""
"Agathon","","tragicus","","","","5","5.185b","",""
"Agathon","","tragicus","","","","5","5.211e","",""
"Agathon","","tragicus","","","","10","10.445c","",""
"Agathon","","tragicus","","","","13","13.584a","",""
"Agathon","","tragicus","","eius isocola et antitheta","","5","5.187b","",""
"Agathon","","tragicus","","Θυέστης","","12","12.528d","",""
"Agathon","","tragicus","","Τήλεφος","","10","10.454d","",""
"Agelochus (nunc Amphilochus)","","","","","","2","2.54d","",""
"Agias","","ὁ μουσικός","","","","14","14.626f","",""
"Agias","","","","Ἀργολικά","","3","3.86f","",""
"Agis","","","","Ὀψαρτυτικά","","12","12.516c","",""
"Aglaosthenes","","","","","","3","3.78c","",""
"Agnon","","Academicus","","","","13","13.602e","",""
"Alcaeus","ὁ Μυτιληναῖος","ποιητής","","","","1","1.22e","",""
"Alcaeus","","ὁ μελοποιός","","","","7","7.311a","",""
"Alcaeus","","","ebrius sua carmina componere consueverat","","","10","10.429a","",""
"Alcaeus","","","quolibet tempore et quavis occasione bibendum praecipit","","","10","10.430a","","range start"
"Alcaeus","","","quolibet tempore et quavis occasione bibendum praecipit","","","10","10.430d","","range end"
"Alcaeus","","","quolibet tempore et quavis occasione bibendum praecipit","","","11","11.481a","",""
"Alcaeus","","","","eius aliquod carmen Οἶνος, ὠ φίλε παῖ, καὶ ἀλήθεια","","2","2.37e","",""
"Alcaeus","","","in scoliorum genere excelluit","","","15","15.694a","",""
"Alcaeus","","","gloriatur armorum apparatu","","","14","14.627a","",""
"Alcaeus","","","gloriatur armorum apparatu","","","14","14.627b","",""
"Alcaeus","","","Sapphonem deperiisse, et carminum suorum venustate ussisse Anacreontem ait Hermesianax","","","13","13.598b","",""
"Alcaeus","","","Sapphonem deperiisse, et carminum suorum venustate ussisse Anacreontem ait Hermesianax","","","13","13.598c","",""
"Alcaeus","","","citatur","","","2","2.38e","",""
"Alcaeus","","","citatur","","","3","3.86f","",""
"Alcaeus","","","citatur","","","7","7.316c","",""
"Alcaeus","","","citatur","","","10","10.425c","",""
"Alcaeus","","","citatur","","","11","11.460d","",""
"Alcaeus","","","citatur","","","11","11.478b","",""
"Alcaeus","","","citatur","","","15","15.674c","",""
"Alcaeus","","","citatur","","","15","15.674d","",""
"Alcaeus","","","citatur","","","15","15.678d","",""
