"ANTIPHANES","","","","comicus","","Δίδυμοι","","","fr. 80","6","6.238b","","","range end"
"ANTIPHANES","","","","comicus","","Δίδυμοι","","","fr. 81","10","10.423c","","",""
"ANTIPHANES","","","","comicus","","Δίδυμοι","","","fr. 82","3","3.127d","","",""
"ANTIPHANES","","","","comicus","","Δίδυμοι","","","fr. 83","9","9.380f","","",""
"ANTIPHANES","","","","comicus","","Διπλάσιοι","","","fr. 86","11","11.503d","","","range start"
"ANTIPHANES","","","","comicus","","Διπλάσιοι","","","fr. 86","11","11.503e","","","range end"
"ANTIPHANES","","","","comicus","","Δραπεταγωγός","","","fr. 87","4","4.161d","","","range start"
"ANTIPHANES","","","","comicus","","Δραπεταγωγός","","","fr. 87","4","4.161e","","","range end"
"ANTIPHANES","","","","comicus","","Δυσέρωτες","","","fr. 88","3","3.100f","","",""
"ANTIPHANES","","","","comicus","","Δύσπρατος","","","fr. 89","6","6.262c","","",""
"ANTIPHANES","","","","comicus","","Δύσπρατος","","","fr. 90","14","14.661f","","",""
"ANTIPHANES","","","","comicus","","Δωδώνη","","","fr. 91","12","12.526d","","",""
"ANTIPHANES","","","","comicus","","Εὐθύδικος","","","fr. 95","4","4.169d","","",""
"ANTIPHANES","","","","comicus","","Εὐθύδικος","","","fr. 97","7","7.323b","","",""
"ANTIPHANES","","","","comicus","","Ζάκυνθος","","","fr. 102","12","12.553c","","","range start"
"ANTIPHANES","","","","comicus","","Ζάκυνθος","","","fr. 102","12","12.553d","","","range end"
"ANTIPHANES","","","","comicus","","Θαμυρὰς","","","fr. 105","7","7.300c","","","range start"
"ANTIPHANES","","","","comicus","","Θαμυρὰς","","","fr. 105","7","7.300d","","","range end"
"ANTIPHANES","","","","comicus","","Θορίκιοι ἢ Διορύττων","","sed solum Θορίκιοι p. 563","fr. 106","12","12.553d","","",""
"ANTIPHANES","","","","comicus","","Θορίκιοι ἢ Διορύττων","","sed solum Θορίκιοι p. 563","fr. 106","15","15.689e","","","range start"
"ANTIPHANES","","","","comicus","","Θορίκιοι ἢ Διορύττων","","sed solum Θορίκιοι p. 563","fr. 106","15","15.689f","","","range end"
"ANTIPHANES","","","","comicus","","Ἰατρός","","","fr. 108","4","4.175a","","",""
"ANTIPHANES","","","","comicus","","Ἱππῆς","","","fr. 109","11","11.503b","","",""
"ANTIPHANES","","","","comicus","","Ἱππῆς","","","fr. 110","15","15.700c","","ubi cod. Ἀριστοφάνης",""
"ANTIPHANES","","","","comicus","","Καινεύς","","","fr. 112","10","10.433c","","",""
"ANTIPHANES","","","","comicus","","Κᾶρες","","","fr 113","4","4.134b","","","range start"
"ANTIPHANES","","","","comicus","","Κᾶρες","","","fr 113","4","4.134c","","","range end"
"ANTIPHANES","","","","comicus","","Καρίνη","","","fr. 114","11","11.503b","","","range start"
"ANTIPHANES","","","","comicus","","Καρίνη","","","fr. 114","11","11.503c","","","range end"
"ANTIPHANES","","","","comicus","","Καρίνη","","","fr. 115","11","11.503b","","","range start"
"ANTIPHANES","","","","comicus","","Καρίνη","","","fr. 115","11","11.503c","","","range end"
"ANTIPHANES","","","","comicus","","Κηπουρός","","","fr. 116","13","13.586a","","",""
"ANTIPHANES","","","","comicus","","Κιθαριστής","","","fr. 117","15","15.681c","","",""
"ANTIPHANES","","","","comicus","","Κιθαρῳδός","","","fr. 118","8","8.342d","","",""
"ANTIPHANES","","","","comicus","","Κιθαρῳδός","","","fr. 119","8","8.342d","","",""
"ANTIPHANES","","","","comicus","","Κλεοφάνης","","","fr. 122","3","3.98f","","",""
"ANTIPHANES","","","","comicus","","Κλεοφάνης","","","fr. 122","13","13.565f","","",""
"ANTIPHANES","","","","comicus","","Κνοιθιδεὺς ἢ Γάστρων","","","fr. 124","10","10.448e","","","range start"
"ANTIPHANES","","","","comicus","","Κνοιθιδεὺς ἢ Γάστρων","","","fr. 124","10","10.449b","","","range end"
"ANTIPHANES","","","","comicus","","ἐν Κνοιθιδεῖ","","","fr. 125","7","7.287e","","",""
"ANTIPHANES","","","","comicus","","Κορινθία","","","fr. 126","3","3.95f","","",""
"ANTIPHANES","","","","comicus","","Κουρίς","","","fr. 128","3","3.120a","","",""
"ANTIPHANES","","","","comicus","","Κουρίς","","","fr. 129","7","7.303f","","",""
"ANTIPHANES","","","","comicus","","Κύκλωψ","","","fr. 132","7","7.295f","","",""
"ANTIPHANES","","","","comicus","","Κύκλωψ","","","fr. 133","9","9.402e","","",""
"ANTIPHANES","","","","comicus","","Κώρυκος","","","fr. 134","9","9.366b","","","range start"
"ANTIPHANES","","","","comicus","","Κώρυκος","","","fr. 134","9","9.366c","","","range end"
"ANTIPHANES","","","","comicus","","Κώρυκος","","","fr. 135","4","4.161a","","",""
"ANTIPHANES","","","","comicus","","Κώρυκος","","","fr. 136","9","9.409c","","","range start"
"ANTIPHANES","","","","comicus","","Κώρυκος","","","fr. 136","9","9.409d","","","range end"
"ANTIPHANES","","","","comicus","","Λαμπάς","","","fr. 137","11","11.486f","","",""
"ANTIPHANES","","","","comicus","","Λαμπάς","","","fr. 137","11","11.487b","","",""
"ANTIPHANES","","","","comicus","","Λάμπων","","","fr. 138","7","7.307d","","",""
"ANTIPHANES","","","","comicus","","Λάμπων","","","fr. 139","10","10.423d","","",""
"ANTIPHANES","","","","comicus","","Λεπτινίσκος","","","fr. 140","14","14.641f","","",""
"ANTIPHANES","","","","comicus","","Λεπτινίσκος","","","Leucadia fr. 142","2","2.68a","","",""
"ANTIPHANES","","","","comicus","","Λεωνίδης","","","fr. 143","10","10.422e","","",""
"ANTIPHANES","","","","comicus","","Λήμνιαι","","","fr. 144","6","6.258c","","",""
"ANTIPHANES","","","","comicus","","Λήμνιαι","","","fr. 144","6","6.258e","","",""
"ANTIPHANES","","","","comicus","","Λήμνιαι","","","fr. 145","6","6.230d","","","range start"
"ANTIPHANES","","","","comicus","","Λήμνιαι","","","fr. 145","6","6.230e","","","range end"
"ANTIPHANES","","","","comicus","","Λυδός","","","fr. 146","10","10.445c","","",""
"ANTIPHANES","","","","comicus","","Λύκων","","","fr. 147","7","7.299e","","",""
"ANTIPHANES","","","","comicus","","Μελανίων","","","fr. 149","10","10.423d","","",""
"ANTIPHANES","","","","comicus","","Μέτοικος","","","fr. 152","4","4.170d","","","range start"
"ANTIPHANES","","","","comicus","","Μέτοικος","","","fr. 152","4","4.170e","","","range end"
"ANTIPHANES","","","","comicus","","Μητραγύρτης","","","fr. 154","12","12.553c","","",""
"ANTIPHANES","","","","comicus","","Μίνως","","","fr. 158","2","2.58d","","",""
"ANTIPHANES","","","","comicus","","Μισοπόνηρος","","","fr. 159","6","6.226c","","","range start"
"ANTIPHANES","","","","comicus","","Μισοπόνηρος","","","fr. 159","6","6.226e","","","range end"
"ANTIPHANES","","","","comicus","","Μνήματα","","","fr. 160","4","4.161a","","",""
"ANTIPHANES","","","","comicus","","Μοιχοί","","","fr. 161","6","6.225d","","","range start"
"ANTIPHANES","","","","comicus","","Μοιχοί","","","fr. 161","6","6.225e","","","range end"
"ANTIPHANES","","","","comicus","","Μύστις","","","fr. 163","10","10.446b","","","range start"
"ANTIPHANES","","","","comicus","","Μύστις","","","fr. 163","10","10.446c","","","range end"
"ANTIPHANES","","","","comicus","","Μύστις","","","fr. 163","11","11.494c","","","range start"
"ANTIPHANES","","","","comicus","","Μύστις","","","fr. 163","11","11.494d","","","range end"
"ANTIPHANES","","","","comicus","","Μύστις","","","fr. 165","10","10.441c","","",""
"ANTIPHANES","","","","comicus","","Νεανίσκοι","","","fr. 166","6","6.224c","","","range start"
"ANTIPHANES","","","","comicus","","Νεανίσκοι","","","fr. 166","6","6.224d","","","range end"
"ANTIPHANES","","","","comicus","","Νεοττίς","","","fr. 168","3","3.108e","","",""
"ANTIPHANES","","","","comicus","","Νεοττίς","","","fr. 169","6","6.223e","","",""
"ANTIPHANES","","","","comicus","","Νεοττίς","","","fr. 170","13","13.586a","","",""
"ANTIPHANES","","","","comicus","","Οἰνόμαος ἢ Πέλοψ","","","fr. 172","4","4.130e","","","range start"
"ANTIPHANES","","","","comicus","","Οἰνόμαος ἢ Πέλοψ","","","fr. 172","4","4.130f","","","range end"
"ANTIPHANES","","","","comicus","","Ὅμοιοι","","","fr. 174","14","14.642a","","",""
"ANTIPHANES","","","","comicus","","Ὅμοιοι","","","fr. 174","11","11.471c","","",""
"ANTIPHANES","","","","comicus","","Ὁμοπάτριοι","","","fr. 175","14","14.655b","","",""
"ANTIPHANES","","","","comicus","","Ὀμφάλη","","","fr. 176","3","3.112c","","","range start"
"ANTIPHANES","","","","comicus","","Ὀμφάλη","","","fr. 176","3","3.112d","","","range end"
"ANTIPHANES","","","","comicus","","Ὀμφάλη","","","fr. 177","3","3.123b","","",""
"ANTIPHANES","","","","comicus","","Ὀμφάλη","","","fr. 178","3","3.125a","","","range start"
"ANTIPHANES","","","","comicus","","Ὀμφάλη","","","fr. 178","3","3.125b","","","range end"
"ANTIPHANES","","","","comicus","","Ὁμώνυμοι","","","fr. 179","2","2.43b","","","range start"
"ANTIPHANES","","","","comicus","","Ὁμώνυμοι","","","fr. 179","2","2.43c","","","range end"
"ANTIPHANES","","","","comicus","","Ὁμώνυμοι","","","fr. 179","3","3.74d","","","range start"
"ANTIPHANES","","","","comicus","","Ὁμώνυμοι","","","fr. 179","3","3.74e","","","range end"
"ANTIPHANES","","","","comicus","","Παιδεραστής","","","fr. 181","7","7.303f","","",""
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 182","4","4.169e","","","range start"
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 182","4","4.169f","","","range end"
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 183","9","9.370d","","","range start"
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 183","9","9.370e","","","range end"
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 184","8","8.358d","","",""
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 185","3","3.96b","","",""
"ANTIPHANES","","","","comicus","","Παράσιτος","","","fr. 186","3","3.118d","","",""
"ANTIPHANES","","","","comicus","","Παρεκδιδομένῃ","","","fr. 187","4","4.156c","","","range start"
"ANTIPHANES","","","","comicus","","Παρεκδιδομένῃ","","","fr. 187","4","4.156d","","","range end"
"ANTIPHANES","","","","comicus","","Παροιμίαι","","","fr. 188","2","2.60e","","",""
"ANTIPHANES","","","","comicus","","Πλούσιοι","","","fr. 190","8","8.342e","","","range start"
"ANTIPHANES","","","","comicus","","Πλούσιοι","","","fr. 190","8","8.343a","","","range end"
"ANTIPHANES","","","","comicus","","Ποίησις","","","fr. 191","6","6.222a","","","range start"
"ANTIPHANES","","","","comicus","","Ποίησις","","","fr. 191","6","6.223a","","","range end"
"ANTIPHANES","","","","comicus","","Ποντικός","","","fr. 192","7","7.302f","","",""
"ANTIPHANES","","","","comicus","","Προβατεύς","","","fr. 193","7","7.295c","","","range start"
"ANTIPHANES","","","","comicus","","Προβατεύς","","","fr. 193","7","7.295d","","","range end"
"ANTIPHANES","","","","comicus","","Πρόβλημα","","","fr. 194","10","10.450c","","","range start"
"ANTIPHANES","","","","comicus","","Πρόβλημα","","","fr. 194","10","10.450e","","","range end"
"ANTIPHANES","","","","comicus","","Πρόγονοι","","","fr. 195","6","6.238d","","","range start"
"ANTIPHANES","","","","comicus","","Πρόγονοι","","","fr. 195","6","6.238f","","","range end"
"ANTIPHANES","","","","comicus","","Σαπφώ","","","fr. 196","10","10.450e","","","range start"
"ANTIPHANES","","","","comicus","","Σαπφώ","","","fr. 196","10","10.451b","","","range end"
"ANTIPHANES","","","","comicus","","Σκληρίαι?","","","fr. 198","3","3.77d","","",""
"ANTIPHANES","","","","comicus","","Σκύθης","","","fr. 199","6","6.243c","","",""
"ANTIPHANES","","","","comicus","","Σκύθης","","","fr. 200","6","6.247f","","",""
"ANTIPHANES","","","","comicus","","Στρατιώτης ἢ Τύχων","","","fr. 204","3","3.103e","","","range start"
"ANTIPHANES","","","","comicus","","Στρατιώτης ἢ Τύχων","","","fr. 204","3","3.104a","","","range end"
"ANTIPHANES","","","","comicus","","Στρατιώτης ἢ Τύχων","","","fr. 205","14","14.654e","","",""
"ANTIPHANES","","","","comicus","","Στρατιώτης ἢ Τύχων","","","fr. 205","9","9.397a","","",""
"ANTIPHANES","","","","comicus","","ἐν Στρατιώτη","","","fr. 202","6","6.257d","","","range start"
"ANTIPHANES","","","","comicus","","ἐν Στρατιώτη","","","fr. 202","6","6.257f","","","range end"
"ANTIPHANES","","","","comicus","","Τίμων","","","fr. 206","7","7.309d","","","range start"
"ANTIPHANES","","","","comicus","","Τίμων","","","fr. 206","7","7.309e","","","range end"
"ANTIPHANES","","","","comicus","","Τραυματίας","","","fr. 207","10","10.446a","","","range start"
"ANTIPHANES","","","","comicus","","Τραυματίας","","","fr. 207","10","10.446b","","","range end"
"ANTIPHANES","","","","comicus","","Τριταγωνιστής","","","fr. 209","14","14.643d","","","range start"
"ANTIPHANES","","","","comicus","","Τριταγωνιστής","","","fr. 209","14","14.643e","","","range end"
"ANTIPHANES","","","","comicus","","Τυρρηνός","","","fr. 210","6","6.240f","","",""
"ANTIPHANES","","","","comicus","","Τυρρηνός","","","fr. 211","7","7.329e","","",""
"ANTIPHANES","","","","comicus","","Ὑδρία","","","fr. 212","13","13.572a","","",""
"ANTIPHANES","","","","comicus","","Ὑδρία","","","fr. 213","3","3.104a","","",""
"ANTIPHANES","","","","comicus","","Ὕπνος","","","","15","15.671d","","v. ALEXIS",""
"ANTIPHANES","","","","comicus","","Φιλέταιρος","","","fr. 215","9","9.396c","","","range start"
"ANTIPHANES","","","","comicus","","Φιλέταιρος","","","fr. 215","9","9.396d","","","range end"
"ANTIPHANES","","","","comicus","","Φιλοθήβαιος","","","fr. 217","14","14.622f","","","range start"
"ANTIPHANES","","","","comicus","","Φιλοθήβαιος","","","fr. 217","14","14.623c","","","range end"
"ANTIPHANES","","","","comicus","","Φιλοθήβαιος","","","fr. 217","4","4.169c","","",""
"ANTIPHANES","","","","comicus","","Φιλοθήβαιος","","","fr. 218","6","6.225f","","",""
"ANTIPHANES","","","","comicus","","Φιλομήτωρ","","","fr. 220","3","3.100d","","",""
"ANTIPHANES","","","","comicus","","Φιλοπάτωρ","","","fr. 221","13","13.559d","","",""
"ANTIPHANES","","","","comicus","","Φιλῶτις","","","fr. 222","14","14.662b","","",""
"ANTIPHANES","","","","comicus","","Φιλῶτις","","","fr. 222","7","7.295d","","",""
"ANTIPHANES","","","","comicus","","Φρεάρριος","","","fr. 223","15","15.691d","","",""
"ANTIPHANES","","","","comicus","","Χρυσίς","","","fr. 224","11","11.500e","","",""
"ANTIPHANES","","","","comicus","","Χρυσίς","","","fr. 225","4","4.172c","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 226","2","2.60c","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 226","2","2.60d","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 227","2","2.60c","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 227","2","2.60d","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 228","1","1.3f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 229","1","1.4f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 229","1","1.5a","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 230","1","1.4f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 230","1","1.5a","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 231","1","1.22f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 234","1","1.14f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 235","2","2.38b","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 235","2","2.38c","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 236","1","1.27d","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 236","1","1.27e","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 237","11","11.781e","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 242","1","1.28f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 243","1","1.8d","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 244","1","1.8d","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 245","1","1.18c","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 246","2","2.45a","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 249","2","2.71e","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 271","2","2.40c","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 272","15","15.686b","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 272","15","15.686c","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 273","1","1.12c","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 274","1","1.3b","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 275","2","2.56e","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 276","2","2.47b","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 277","2","2.66d","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 279","2","2.66d","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 282","1","1.14f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 283","1","1.15a","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 284","1","1.11c","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 285","1","1.11c","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 286","1","1.23a","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 287","2","2.49b","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 287","2","2.49c","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 298","1","1.8e","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 299","2","2.47f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 300","2","2.44a","","","range start"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 300","2","2.44b","","","range end"
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 301","2","2.63a","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 302","2","2.65e","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 305","14","14.644f","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 325 (quod est Eubuli e Glaucone fr. 19)","1","1.28d","","",""
"ANTIPHANES","","","","comicus","","fab. incert.","","","fr. 331 (Ἀντιφάνης ἢ Ἄλεξις)","2","2.66f","","",""
"ANTIPHANES","","","","","scripsit περὶ τῶν Ἀθήνησιν ἑταιρίδων","","","","","13","13.567a","","",""
"ANTIPHANES","","","","","scripsit περὶ τῶν Ἀθήνησιν ἑταιρίδων","ἐν τῷ περὶ Ἑταιρῶν","","","","13","13.586b","","cf. 13.586f adn.",""
"ANTIPHANES","","","","","scripsit περὶ τῶν Ἀθήνησιν ἑταιρίδων","ἐν τῷ περὶ Ἑταιρῶν","","","","13","13.587b","","cf. 13.586f adn.",""
"ANTIPHO","","","","orator","","ἐν τῷ κατὰ Ἀλκιβιάδου λοιδορίας","","","fr. 67","12","12.525b","","",""
"ANTIPHO","","","","orator","","λόγος ἔχων ἐπίγραμμα περὶ Ταῶν","","","fr. 68","9","9.397c","","","range start"
"ANTIPHO","","","","orator","","λόγος ἔχων ἐπίγραμμα περὶ Ταῶν","","","fr. 68","9","9.397d","","","range end"
"ANTIPHO","","","","orator","","ἐν τῷ Πολιτικῷ","","","fr. 79","10","10.423a","","",""
"ANTIPHO","","","","orator","","Γεωργικά","","","","","","","v. ANDROTIO",""
"ANTIPHO","","","","tragicus poeta","","","","","","15","15.673f","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Ἀρχέλαος","","","","5","5.220d","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Ἀσπασία","","","","5","5.220d","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","ἐν θατέρῳ τῶν Κύρων","","","","5","5.220c","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Πολιτικὸς διάλογος","","","","5","5.220d","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Protrepticus","","","","11","11.784d","","cf. adn.",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Σάθων","","","","5","5.220d","","","range start"
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Σάθων","","","","5","5.220e","","","range end"
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Σάθων","","","","11","11.507a","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","Φυσιογνωμονικός","","","","14","14.656f","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","sedis incertae","","","","5","5.216b","","","range start"
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","sedis incertae","","","","5","5.216c","","","range end"
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","sedis incertae","","","","12","12.513a","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","sedis incertae","","","","12","12.534c","","",""
"ANTISTHENES","","","","ὁ Σωκρατικός (passim)","","sedis incertae","","","","13","13.589e","","Αἰσχίνης ὁ Σωκρ. coni",""
"APIO","ὁ Ἀλεξανδρεύς (1.16f)","","","ὁ γραμματικός (7.294e)","","ἐν τῷ Περὶ τῆς Ἀπικίου τρυφῆς","","","","7","7.294e","","",""
"APIO","ὁ Ἀλεξανδρεύς (1.16f)","","","ὁ γραμματικός (7.294e)","","ἐν τῷ Περὶ τῆς Ῥωμαικῆς διαλέκτου","","","","15","15.680d","","",""
"APIO","ὁ Ἀλεξανδρεύς (1.16f)","","","ὁ γραμματικός (7.294e)","","sedis incertae","","","","1","1.16f","","Ἀ. καὶ Διόδωρος",""
"APIO","ὁ Ἀλεξανδρεύς (1.16f)","","","ὁ γραμματικός (7.294e)","","sedis incertae","","","","11","11.501d","","Ἀ. καὶ Διόδωρος","range start"
"APIO","ὁ Ἀλεξανδρεύς (1.16f)","","","ὁ γραμματικός (7.294e)","","sedis incertae","","","","11","11.501e","","Ἀ. καὶ Διόδωρος","range end"
"APIO","ὁ Ἀλεξανδρεύς (1.16f)","","","ὁ γραμματικός (7.294e)","","sedis incertae","","","","14","14.642e","","Ἀ. καὶ Διόδωρος","",""
"APOLLAS","","","","","","ἐν τῷ Περὶ τῶν ἐν Πελοποννήσῳ πόλεων","","","fr. 3","9","9.369a","","",""
"APOLLAS","","","","","","ἐν τῷ Περὶ τῶν ἐν Πελοποννήσῳ πόλεων","","indidem sine dubio","","2","2.63d","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῇ πρὸς τὴν Ἀριστοκλέους Ἐπιστολὴν Ἀντιγραφῇ","","","","14","14.636f","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","Ἀττικαὶ Γλῶσσαι","","","","14","14.646c","","Ἀπ. καὶ Θεόδωρος",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","Ἀττικαὶ Γλῶσσαι","","indidem fort.","","14","14.646a","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","Ἀττικαὶ Γλῶσσαι","","indidem fort.","","14","14.648e","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ Περὶ τῶν Ἀθήνησιν ἑταιρίδων","","","","13","13.586a","","","range start"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ Περὶ τῶν Ἀθήνησιν ἑταιρίδων","","","","13","13.586b","","","range end"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ περὶ Ἑταιρῶν","","","","13","13.591c","","cf. 13.567a, 583d",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ αʹ τῶν Ἐτυμολογουμένων","","","","14","14.663a","","","range start"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ αʹ τῶν Ἐτυμολογουμένων","","","","14","14.663b","","","range end"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν βʹ Ἐτυμολογιῶν","","","","2","2.63d","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ περὶ Ἐτυμολογιῶν","","","","11","11.483a","","cf. 482e",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τοῖς περὶ Θεῶν","","","","7","7.325b","","fort. 7.306a",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τοῖς περὶ Θεῶν","","","","13","13.571c","","fort. 7.306a",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν εʹ περὶ Νεῶν Καταλόγου","","","","3","3.82b","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ γ’ περὶ Σώφρονος τῷ εἰς τοὺς Ἀνδρείους Μίμους","","","","7","7.281e","","","range start"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τῷ γ’ περὶ Σώφρονος τῷ εἰς τοὺς Ἀνδρείους Μίμους","","","","7","7.281f","","","range end"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τοῖς περὶ Σώφρονος","","","","3","3.89a","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τοῖς περὶ Σώφρονος","","","","7","7.309c","","","range start"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","ἐν τοῖς περὶ Σώφρονος","","","","7","7.309d","","","range end"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","† ἐν τῷ περὶ τοῦ Κρατῆρος ῤησειδίῳ","","","","11","11.501a","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","incertum ad Glossas an ad Etymologumena referenda","","","","2","2.66a","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","incertum ad Glossas an ad Etymologumena referenda","","","","3","3.81f","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","incertum ad Glossas an ad Etymologumena referenda","","","","4","4.172f","","","range start"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","incertum ad Glossas an ad Etymologumena referenda","","","","4","4.173b","","","range end"
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","incertum ad Glossas an ad Etymologumena referenda","","","","11","11.479a","","",""
"APOLLODORVS","ὁ Ἀθηναῖος (passim)","","","","","incertum ad Glossas an ad Etymologumena referenda","","","","11","11.485d","","",""
"APOLLODORVS","Artamitenus","","","","","ἐν δ’ Παρθικῶν","","","fr. 8","15","15.682c","","","range start"
"APOLLODORVS","Artamitenus","","","","","ἐν δ’ Παρθικῶν","","","fr. 8","15","15.682d","","","range end"
"APOLLODORVS","","","","ὁ ἀριθμητικός","","","","","","10","10.418f","","v. EPIGRAMMATA",""
"APOLLODORI","","","","comici","si quidem sunt duo, quorum uterque scripsit Ἀπολιποῦσαν et Γραμματειδιοποιόν","a ὁ Γελῷος","Ἀπολιποῦσα","","fr. 1","3","3.125a","","",""
