"AESCHINES","","","","ὁ Σωκρατικός (5.220a)","","Καλλίας","","","p. 12","5","5.220b","","","range start"
"AESCHINES","","","","ὁ Σωκρατικός (5.220a)","","Καλλίας","","","p. 12","5","5.220c","","","range end"
"AESCHINES","","","","ὁ Σωκρατικός (5.220a)","","ἐν τῷ Τηλαυγέι","","","p. 25","5","5.220a","","",""
"AESCHINES","","","","ὁ Σωκρατικός (5.220a)","","","","","","","","","vide ANTISTHENES",""
"AESCHRIO","ὁ Σάμιος (8.335c)","","","ἰαμβοποιός","","ἐν τινι τῶν Ἰάμβων","","","fr. 6","7","7.296e","","","range start"
"AESCHRIO","ὁ Σάμιος (8.335c)","","","ἰαμβοποιός","","ἐν τινι τῶν Ἰάμβων","","","fr. 6","7","7.296f","","","range end"
"AESCHRIO","ὁ Σάμιος (8.335c)","","","ἰαμβοποιός","","ἐν τινι τῶν Ἰάμβων","","","fr. 8","8","8.335c","","","range start"
"AESCHRIO","ὁ Σάμιος (8.335c)","","","ἰαμβοποιός","","ἐν τινι τῶν Ἰάμβων","","","fr. 8","8","8.335d","","","range end"
"AESCHYLIDES","","","","","","ἐν τρίτῳ Γεωργικῶν","","","","14","14.650d","","",""
"AESCHYLVS","","","","","","Ἀγαμέμνων","","","296","15","15.700e","","",""
"AESCHYLVS","","","","","","Ἀγαμέμνων","","","829","13","13.573b","","cf. adn.",""
"AESCHYLVS","","","","","","Ἀγαμέμνων","","","916?","13","13.573b","","cf. adn.",""
"AESCHYLVS","","","","","","Ἀθάμας","","","fr. 1","2","2.37f","","",""
"AESCHYLVS","","","","","","Ἀθάμας","","","fr. 1","7","7.316b","","",""
"AESCHYLVS","","","","","","Ἀμυμώνη","","","fr. 14","15","15.690c","","",""
"AESCHYLVS","","","","","","Γλαῦκος Πόντιος","","","fr. 34","3","3.87a","","",""
"AESCHYLVS","","","","","","Δαναίδες","","","fr. 44","13","13.600a","","","range start"
"AESCHYLVS","","","","","","Δαναίδες","","","fr. 44","13","13.600b","","","range end"
"AESCHYLVS","","","","","","Ἠδωνοί","","","fr. 57,6","11","11.479b","","",""
"AESCHYLVS","","","","","","Ἡλιάδες","","","fr. 69","11","11.469f","","",""
"AESCHYLVS","","","","","","Ἡλιάδες","","","fr. 72","10","10.424d","","",""
"AESCHYLVS","","","","","","Θεωροί","","","fr. 79","14","14.629f","","",""
"AESCHYLVS","","","","","","Ἰξίων","","","fr. 91","4","4.177a","","",""
"AESCHYLVS","","","","","","Ἰξίων","","","fr. 91","4","4.182c","","",""
"AESCHYLVS","","","","","","Κάβιροι","","","","10","10.428f","","",""
"AESCHYLVS","","","","","","Κάβιροι","","","fr. 95","9","9.373d","","",""
"AESCHYLVS","","","","","","Κρῆσσαι","","","fr. 116","2","2.51c","","",""
"AESCHYLVS","","","","","","Λυκοῦργος","","","fr. 124","10","10.447c","","",""
"AESCHYLVS","","","","","","Μυρμιδόνες","","","fr. 135","13","13.602e","","cf. 601a",""
"AESCHYLVS","","","","","","Μυρμιδόνες","","","Myrm. fr. 139,4","11","11.494b","","",""
"AESCHYLVS","","","","","","Νεανίσκοι","","","fr. 146","11","11.503c","","",""
"AESCHYLVS","","","","","","Ὀστολόγοι","","","fr. 179","15","15.667c","","cf. 11.782e","range start"
