Name_1,Name_2,Ethnicon,Characterization,Note,Speech,Book,Casaubon_Reference,Kaibel_Reference,Note_Reference,Is_Range
AEMILIANVS,Maurus,,grammaticus,,,1,1.1c,1.1@1.2,"cf. praef. I p. vi",
AEMILIANVS,,,"μουσικῆς ἐραστής",,,14,14.634c,14.35,,
AEMILIANVS,,,,,loquitur,3,3.83b,3.25,,"range start"
AEMILIANVS,,,,,loquitur,3,3.83c,3.25,,"range end"
AEMILIANVS,,,,,loquitur,3,3.126b,3.100,,"range start"
AEMILIANVS,,,,,loquitur,3,3.126c,3.100,,range
AEMILIANVS,,,,,loquitur,3,3.126d,3.100,,range
AEMILIANVS,,,,,loquitur,3,3.126e,3.100,,range
AEMILIANVS,,,,,loquitur,3,3.126f,3.100@3.101,,"range end"
AEMILIANVS,,,,,loquitur,3,3.127a,3.101,,
AEMILIANVS,,,,,loquitur,3,3.127b,3.101,,"range start"
AEMILIANVS,,,,,loquitur,3,3.127c,3.101,,range
AEMILIANVS,,,,,loquitur,3,3.127d,3.101,,"range end"
AEMILIANVS,,,,,loquitur,4,4.169a,4.67,?,"range start"
AEMILIANVS,,,,,loquitur,4,4.169b,4.67@4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169c,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169d,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169e,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.169f,4.68,?,range
AEMILIANVS,,,,,loquitur,4,4.170a,4.69,?,range
AEMILIANVS,,,,,loquitur,4,4.170b,4.69,?,range
AEMILIANVS,,,,,loquitur,4,4.170c,4.69,?,range
AEMILIANVS,,,,,loquitur,4,4.170d,4.69@4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.170e,4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.170f,4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.171a,4.70,?,range
AEMILIANVS,,,,,loquitur,4,4.171b,4.70@4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171c,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171d,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171e,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.171f,4.71,?,range
AEMILIANVS,,,,,loquitur,4,4.172a,4.71@4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172b,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172c,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172d,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172e,4.72,?,range
AEMILIANVS,,,,,loquitur,4,4.172f,4.72@4.73,?,range
AEMILIANVS,,,,,loquitur,4,4.173a,4.73,?,range
AEMILIANVS,,,,,loquitur,4,4.173b,4.73,?,range
AEMILIANVS,,,,,loquitur,4,4.173c,4.73@4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.173d,4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.173e,4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.173f,4.74,?,range
AEMILIANVS,,,,,loquitur,4,4.174a,4.74@4.75,?,"range end"
AEMILIANVS,,,,,loquitur,6,6.228e,6.14,,"range start"
AEMILIANVS,,,,,loquitur,6,6.228f,6.14,,range
AEMILIANVS,,,,,loquitur,6,6.229a,6.14,,range
AEMILIANVS,,,,,loquitur,6,6.229b,6.14@6.15,,range
AEMILIANVS,,,,,loquitur,6,6.229c,6.15,,range
AEMILIANVS,,,,,loquitur,6,6.229d,6.15@6.16,,range
AEMILIANVS,,,,,loquitur,6,6.229e,6.16,,range
AEMILIANVS,,,,,loquitur,6,6.229f,6.16,,range
AEMILIANVS,,,,,loquitur,6,6.230a,6.16@6.17,,range
AEMILIANVS,,,,,loquitur,6,6.230b,6.17,,range
AEMILIANVS,,,,,loquitur,6,6.230c,6.17,,range
AEMILIANVS,,,,,loquitur,6,6.230d,6.17@6.18,,range
AEMILIANVS,,,,,loquitur,6,6.230e,6.18,,range
AEMILIANVS,,,,,loquitur,6,6.230f,6.18,,range
AEMILIANVS,,,,,loquitur,6,6.231a,6.18,,range
AEMILIANVS,,,,,loquitur,6,6.231b,6.18@6.19,,"range end"
AEMILIANVS,,,,,loquitur,9,9.405d,9.69@9.70,,
AEMILIANVS,,,,,loquitur,9,9.406a,9.70,,
AEMILIANVS,,,,,loquitur,10,10.448b,10.68@10.69,,
AEMILIANVS,,,,,loquitur,14,14.634b,14.34@14.35,,"range start"
AEMILIANVS,,,,,loquitur,14,14.634c,14.35,,range
AEMILIANVS,,,,,loquitur,14,14.634d,14.35,,range
AEMILIANVS,,,,,loquitur,14,14.634e,14.35@14.36,,"range end"
AEMILIANVS,,,,,loquitur,14,14.662f,14.83,,"range start"
AEMILIANVS,,,,,loquitur,14,14.663a,14.83,,range
AEMILIANVS,,,,,loquitur,14,14.663b,14.83,,range
AEMILIANVS,,,,,loquitur,14,14.663c,14.83,,range
AEMILIANVS,,,,,loquitur,14,14.663d,14.83@14.84,,range
AEMILIANVS,,,,,loquitur,14,14.663e,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.663f,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664a,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664b,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664c,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664d,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664e,14.84,,range
AEMILIANVS,,,,,loquitur,14,14.664f,14.84,,"range end"
ALCIDES,,Alexandrinus,musicus,,,1,1.1f,1.2@1.3,,
ALCIDES,,,,,"loqui videtur",1,1.8d,1.14,"cf. adn.",
ALCIDES,,,,,"loqui videtur",1,1.33c,1.59@1.60,"cf. adn.",
ALCIDES,,,,,loquitur,4,4.174b,4.75,,"range start"
ALCIDES,,,,,loquitur,4,4.174c,4.75,,range
ALCIDES,,,,,loquitur,4,4.174d,4.75,,range
ALCIDES,,,,,loquitur,4,4.174e,4.75@4.76,,range
ALCIDES,,,,,loquitur,4,4.174f,4.76,,range
ALCIDES,,,,,loquitur,4,4.175a,4.76,,range
ALCIDES,,,,,loquitur,4,4.175b,4.76@4.77,,range
ALCIDES,,,,,loquitur,4,4.175c,4.77,,range
ALCIDES,,,,,loquitur,4,4.175d,4.77,,range
ALCIDES,,,,,loquitur,4,4.175e,4.77@4.78,,range
ALCIDES,,,,,loquitur,4,4.175f,4.78,,range
ALCIDES,,,,,loquitur,4,4.176a,4.78,,range
ALCIDES,,,,,loquitur,4,4.176b,4.78,,range
ALCIDES,,,,,loquitur,4,4.176c,4.78,,range
ALCIDES,,,,,loquitur,4,4.176d,4.78,,range
ALCIDES,,,,,loquitur,4,4.176e,4.78@4.79,,range
ALCIDES,,,,,loquitur,4,4.176f,4.79,,range
ALCIDES,,,,,loquitur,4,4.177a,4.79,,range
ALCIDES,,,,,loquitur,4,4.182b,4.79,,range
ALCIDES,,,,,loquitur,4,4.182c,4.79@4.80,,range
ALCIDES,,,,,loquitur,4,4.182d,4.80,,range
ALCIDES,,,,,loquitur,4,4.182e,4.80,,range
ALCIDES,,,,,loquitur,4,4.182f,4.80,,range
ALCIDES,,,,,loquitur,4,4.183a,4.80@4.81,,range
ALCIDES,,,,,loquitur,4,4.183b,4.81,,range
ALCIDES,,,,,loquitur,4,4.183c,4.81,,range
ALCIDES,,,,,loquitur,4,4.183d,4.81,,range
ALCIDES,,,,,loquitur,4,4.183e,4.81@4.82,,range
ALCIDES,,,,,loquitur,4,4.183f,4.82,,range
ALCIDES,,,,,loquitur,4,4.184a,4.82@4.83,,range
ALCIDES,,,,,loquitur,4,4.184b,4.83,,range
ALCIDES,,,,,loquitur,4,4.184c,4.83@4.84,,range
ALCIDES,,,,,loquitur,4,4.184d,4.84,,range
ALCIDES,,,,,loquitur,4,4.184e,4.84,,range
ALCIDES,,,,,loquitur,4,4.184f,4.84,,range
ALCIDES,,,,,loquitur,4,4.185a,4.84,,"range end"
AMOEBEVS,,,"ὁ καθ’ ἡμᾶς κιθαρῳδός, comparatur cum Amoebeo antiquo citharoedo",,,14,14.622c,14.16,,"range start"
AMOEBEVS,,,"ὁ καθ’ ἡμᾶς κιθαρῳδός, comparatur cum Amoebeo antiquo citharoedo",,,14,14.622d,14.16@14.17,,"range end"
AMOEBEVS,,,,,loquitur,14,14.623c,14.17,,
AMOEBEVS,,,,,cantat,14,14.623d,14.17,,
ARRIANVS,,,grammaticus,,,3,3.113a,3.79,,
ARRIANVS,,,"cognomine Βλεψίας",,,3,3.113e,3.80,,
ARRIANVS,,,"appellatur ὁ Ῥωμαίων μεγαλοσοφιστής",,,3,3.113d,3.79@3.80,,
ARRIANVS,,,,,loquitur,3,3.113a,3.79,,"range start"
ARRIANVS,,,,,loquitur,3,3.113b,3.79,,range
ARRIANVS,,,,,loquitur,3,3.113c,3.79,,range
ARRIANVS,,,,,loquitur,3,3.113d,3.79@3.80,,"range end"
ATHENAEVS,,Naucratita,,,,3,3.73a,3.2,,
ATHENAEVS,,,"ὁ τῆς βίβλου πατήρ",,,1,1.1a,1.1,,
ATHENAEVS,,,"libri argumenta",,,1,1.1a,1.1,,"range start"
ATHENAEVS,,,"libri argumenta",,,1,1.1b,1.1,,range
ATHENAEVS,,,"libri argumenta",,,1,1.1c,1.1@1.2,,range
ATHENAEVS,,,"libri argumenta",,,1,1.1d,1.2,,range
ATHENAEVS,,,"libri argumenta",,,1,1.1e,1.2,,range
ATHENAEVS,,,"libri argumenta",,,1,1.1f,1.2@1.3,,"range end"
ATHENAEVS,,,"libri forma",,,1,1.2a,1.3,"ipse Timocrati enarrat dipnosophistarum sermones, v. TIMOCRATES",
ATHENAEVS,,,"eius liber de Syriae regibus",,,5,5.211a,5.47,,"range start"
ATHENAEVS,,,"eius liber de Syriae regibus",,,5,5.211b,5.47,,range
ATHENAEVS,,,"eius liber de Syriae regibus",,,5,5.211c,5.47,,range
ATHENAEVS,,,"eius liber de Syriae regibus",,,5,5.211d,5.47,,"range end"
CYNVLCVS,,,"nomen e Parmenisci symposio petitum videtur",,,4,4.156e,4.45,cf.,
CYNVLCVS,,,cynicus,,,1,1.1d,1.2,,
CYNVLCVS,,,"verum nomen Theodorus",,,15,15.669e,15.9,,
CYNVLCVS,,,"verum nomen Theodorus, quod ipse celare solet",,,4,4.160d,4.51,,
CYNVLCVS,,,"patria incerta, nam quod dicit κατὰ τὸν ἐμὸν Μεγαλοπολίτην Κερκιδᾶν non Megalopolitanum se esse significat sed cynicum; cynicus enim Cercidas fuit, ut docent versuum reliquiae",,,8,8.347d,8.39,,"range start"
CYNVLCVS,,,"patria incerta, nam quod dicit κατὰ τὸν ἐμὸν Μεγαλοπολίτην Κερκιδᾶν non Megalopolitanum se esse significat sed cynicum; cynicus enim Cercidas fuit, ut docent versuum reliquiae",,,8,8.347e,8.39,,"range end"
CYNVLCVS,,,"Ulpiano ἀεὶ ἀντικορυσσόμενος",,,15,15.669b,15.8,,
CYNVLCVS,,,"Ulpiano ἀεὶ ἀντικορυσσόμενος",,,15,15.701b,15.60@15.62,,
CYNVLCVS,,,"κύον ἀδδεές appellatur ab Ulpiano",,,15,15.697e,15.53@15.54,,
CYNVLCVS,,,,,"locutus erat (κυνολογήσασιν)",1,1.23a,1.41,,
CYNVLCVS,,,,,loquitur,2,2.49a,2.31@2.32,"cf. adn.","range start"
CYNVLCVS,,,,,loquitur,2,2.49b,2.32,"cf. adn.","range end"
CYNVLCVS,,,,,"loqui videtur",3,3.94c,3.47,"cf. adn.",
CYNVLCVS,,,,,loquitur,3,3.97c,3.51@3.52,,"range start"
CYNVLCVS,,,,,loquitur,3,3.97d,3.52,,range
CYNVLCVS,,,,,loquitur,3,3.97e,3.52,,range
CYNVLCVS,,,,,loquitur,3,3.97f,3.52@3.53,,range
CYNVLCVS,,,,,loquitur,3,3.98a,3.53,,range
CYNVLCVS,,,,,loquitur,3,3.98b,3.53,,range
CYNVLCVS,,,,,loquitur,3,3.98c,3.53@3.54,,range
CYNVLCVS,,,,,loquitur,3,3.98d,3.54,,range
CYNVLCVS,,,,,loquitur,3,3.98e,3.54,,range
CYNVLCVS,,,,,loquitur,3,3.98f,3.54,,range
CYNVLCVS,,,,,loquitur,3,3.99a,3.54,,range
CYNVLCVS,,,,,loquitur,3,3.99b,3.54@3.55,,range
CYNVLCVS,,,,,loquitur,3,3.99c,3.55,,range
CYNVLCVS,,,,,loquitur,3,3.99d,3.55,,range
CYNVLCVS,,,,,loquitur,3,3.99e,3.55@3.56,,"range end"
CYNVLCVS,,,,,loquitur,3,3.106e,3.68@3.69,,
CYNVLCVS,,,,,loquitur,3,3.108f,3.72@3.73,,"range start"
CYNVLCVS,,,,,loquitur,3,3.109a,3.73,,range
CYNVLCVS,,,,,loquitur,3,3.109b,3.73@3.74,,"range end"
CYNVLCVS,,,,,loquitur,3,3.113d,3.79@3.80,,"range start"
CYNVLCVS,,,,,loquitur,3,3.113e,3.80,,"range end"
CYNVLCVS,,,,,loquitur,3,3.121e,3.93@3.94,,
CYNVLCVS,,,,,loquitur,3,3.121f,3.94,,"range start"
CYNVLCVS,,,,,loquitur,3,3.122a,3.94,,range
CYNVLCVS,,,,,loquitur,3,3.122b,3.94,,range
CYNVLCVS,,,,,loquitur,3,3.122c,3.94@3.95,,range
CYNVLCVS,,,,,loquitur,3,3.122d,3.95,,range
CYNVLCVS,,,,,loquitur,3,3.122e,3.95,,"range end"
CYNVLCVS,,,,,loquitur,3,3.122f,3.95,,"range start"
CYNVLCVS,,,,,loquitur,3,3.123a,3.95@3.96,,range
CYNVLCVS,,,,,loquitur,3,3.123b,3.96,,range
CYNVLCVS,,,,,loquitur,3,3.123c,3.96,,range
CYNVLCVS,,,,,loquitur,3,3.123d,3.96,,range
CYNVLCVS,,,,,loquitur,3,3.123e,3.96@3.97,,"range end"
CYNVLCVS,,,,,loquitur,3,3.126a,3.100,,
CYNVLCVS,,,,,loquitur,4,4.156a,4.43@4.44,,"range start"
CYNVLCVS,,,,,loquitur,4,4.156b,4.44,,range
CYNVLCVS,,,,,loquitur,4,4.156c,4.44,,"range end"
CYNVLCVS,,,,,loquitur,4,4.156c,4.44,,"range start"
CYNVLCVS,,,,,loquitur,4,4.156d,4.44@4.45,,range
CYNVLCVS,,,,,loquitur,4,4.156e,4.45,,range
CYNVLCVS,,,,,loquitur,4,4.156f,4.45,,range
CYNVLCVS,,,,,loquitur,4,4.157a,4.45,,range
CYNVLCVS,,,,,loquitur,4,4.157b,4.45,,range
CYNVLCVS,,,,,loquitur,4,4.157c,4.45,,range
CYNVLCVS,,,,,loquitur,4,4.157d,4.45@4.46,,range
CYNVLCVS,,,,,loquitur,4,4.157e,4.46,,range
CYNVLCVS,,,,,loquitur,4,4.157f,4.46,,range
CYNVLCVS,,,,,loquitur,4,4.158a,4.46@4.47,,range
CYNVLCVS,,,,,loquitur,4,4.158b,4.47,,range
CYNVLCVS,,,,,loquitur,4,4.158c,4.47,,range
CYNVLCVS,,,,,loquitur,4,4.158d,4.47@4.48,,"range end"
CYNVLCVS,,,,,loquitur,4,4.158d,4.47@4.48,,"range start"
CYNVLCVS,,,,,loquitur,4,4.158e,4.48,,range
CYNVLCVS,,,,,loquitur,4,4.158f,4.48,,range
CYNVLCVS,,,,,loquitur,4,4.159a,4.48@4.49,,range
CYNVLCVS,,,,,loquitur,4,4.159b,4.49,,range
CYNVLCVS,,,,,loquitur,4,4.159c,4.49,,range
CYNVLCVS,,,,,loquitur,4,4.159d,4.49,,"range end"
CYNVLCVS,,,,,loquitur,4,4.159e,4.50,,"range start"
CYNVLCVS,,,,,loquitur,4,4.159f,4.50,,range
CYNVLCVS,,,,,loquitur,4,4.160a,4.50,,"range end"
CYNVLCVS,,,,,loquitur,4,4.164d,4.57@4.58,,"range start"
CYNVLCVS,,,,,loquitur,4,4.164e,4.58,,range
CYNVLCVS,,,,,loquitur,4,4.164f,4.58,,range
CYNVLCVS,,,,,loquitur,4,4.165a,4.58,,range
CYNVLCVS,,,,,loquitur,4,4.165b,4.58@4.59,,"range end"
CYNVLCVS,,,,,loquitur,4,4.165b,4.58@4.59,,"range start"
CYNVLCVS,,,,,loquitur,4,4.165c,4.59,,range
CYNVLCVS,,,,,loquitur,4,4.165d,4.59,,"range end"
CYNVLCVS,,,,,loquitur,6,6.270a,6.98@6.99,,"range start"
CYNVLCVS,,,,,loquitur,6,6.270b,6.99,,range
CYNVLCVS,,,,,loquitur,6,6.270c,6.99,,"range end"
CYNVLCVS,,,,,loquitur,6,6.270d,6.99,,"range start"
CYNVLCVS,,,,,loquitur,6,6.270e,6.99@6.100,,range
CYNVLCVS,,,,,loquitur,6,6.270f,6.100,,range
CYNVLCVS,,,,,loquitur,6,6.271a,6.100,,"range end"
CYNVLCVS,,,,,loquitur,7,7.275b,7.1,,"range start"
CYNVLCVS,,,,,loquitur,7,7.276a,7.1@7.2,,"range end"
CYNVLCVS,,,,,loquitur,7,7.298e,7.53,,
CYNVLCVS,,,,,"locuturum occupat Democritus",8,8.331c,8.1@8.2,,
CYNVLCVS,,,,,loquitur,8,8.347d,8.39,,"range start"
CYNVLCVS,,,,,loquitur,8,8.347e,8.39,,range
CYNVLCVS,,,,,loquitur,8,8.347f,8.39@8.40,,range
CYNVLCVS,,,,,loquitur,8,8.348a,8.40,,range
CYNVLCVS,,,,,loquitur,8,8.348b,8.40,,range
CYNVLCVS,,,,,loquitur,8,8.348c,8.40,,range
CYNVLCVS,,,,,loquitur,8,8.348d,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.348e,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.348f,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.349a,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.349b,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.349c,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.349d,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.349e,8.41,,range
CYNVLCVS,,,,,loquitur,8,8.349f,8.41@8.42,,range
CYNVLCVS,,,,,loquitur,8,8.350a,8.42,,range
CYNVLCVS,,,,,loquitur,8,8.350b,8.42,,range
CYNVLCVS,,,,,loquitur,8,8.350c,8.42,,range
CYNVLCVS,,,,,loquitur,8,8.350d,8.42@8.43,,range
CYNVLCVS,,,,,loquitur,8,8.350e,8.43,,range
CYNVLCVS,,,,,loquitur,8,8.350f,8.43,,range
CYNVLCVS,,,,,loquitur,8,8.351a,8.43,,range
CYNVLCVS,,,,,loquitur,8,8.351b,8.43,,range
CYNVLCVS,,,,,loquitur,8,8.351c,8.44,,range
CYNVLCVS,,,,,loquitur,8,8.351d,8.44,,range
CYNVLCVS,,,,,loquitur,8,8.351e,8.44@8.45,,range
CYNVLCVS,,,,,loquitur,8,8.351f,8.45,,range
CYNVLCVS,,,,,loquitur,8,8.352a,8.45,,range
CYNVLCVS,,,,,loquitur,8,8.352b,8.45,,range
CYNVLCVS,,,,,loquitur,8,8.352c,8.45@8.46,,range
CYNVLCVS,,,,,loquitur,8,8.352d,8.46@8.47,,range
CYNVLCVS,,,,,loquitur,8,8.352e,8.47,,range
CYNVLCVS,,,,,loquitur,8,8.352f,8.47,,range
CYNVLCVS,,,,,loquitur,8,8.353a,8.47@8.48,,range
CYNVLCVS,,,,,loquitur,8,8.353b,8.48,,range
CYNVLCVS,,,,,loquitur,8,8.353c,8.48,,range
CYNVLCVS,,,,,loquitur,8,8.353d,8.48,,range
CYNVLCVS,,,,,loquitur,8,8.353e,8.48@8.49,,range
CYNVLCVS,,,,,loquitur,8,8.353f,8.49,,range
CYNVLCVS,,,,,loquitur,8,8.354a,8.49@8.50,,range
CYNVLCVS,,,,,loquitur,8,8.354b,8.50,,range
CYNVLCVS,,,,,loquitur,8,8.354c,8.50,,range
CYNVLCVS,,,,,loquitur,8,8.354d,8.50,,"range end"
CYNVLCVS,,,,,loquitur,8,8.354d,8.50,,"range start"
CYNVLCVS,,,,,loquitur,8,8.354e,8.50,,range
CYNVLCVS,,,,,loquitur,8,8.354f,8.50,,"range end"
CYNVLCVS,,,,,loquitur,9,9.385b,9.34,,"range start"
CYNVLCVS,,,,,loquitur,9,9.385c,9.34,,"range end"
CYNVLCVS,,,,,loquitur,13,13.566e,13.20@13.21,,"range start"
CYNVLCVS,,,,,loquitur,13,13.566f,13.21,,range
CYNVLCVS,,,,,loquitur,13,13.567a,13.21,,range
CYNVLCVS,,,,,loquitur,13,13.567b,13.21,,range
CYNVLCVS,,,,,loquitur,13,13.567c,13.21,,range
CYNVLCVS,,,,,loquitur,13,13.567d,13.21@13.22,,range
CYNVLCVS,,,,,loquitur,13,13.567e,13.22,,range
CYNVLCVS,,,,,loquitur,13,13.567f,13.22,,range
CYNVLCVS,,,,,loquitur,13,13.568a,13.23,,range
CYNVLCVS,,,,,loquitur,13,13.568b,13.23,,range
CYNVLCVS,,,,,loquitur,13,13.568c,13.23,,range
CYNVLCVS,,,,,loquitur,13,13.568d,13.23@13.24,,range
CYNVLCVS,,,,,loquitur,13,13.568e,13.24,,range
CYNVLCVS,,,,,loquitur,13,13.568f,13.24,,range
CYNVLCVS,,,,,loquitur,13,13.569a,13.24,,range
CYNVLCVS,,,,,loquitur,13,13.569b,13.24,,range
CYNVLCVS,,,,,loquitur,13,13.569c,13.24,,range
CYNVLCVS,,,,,loquitur,13,13.569d,13.24@13.25,,range
CYNVLCVS,,,,,loquitur,13,13.569e,13.25,,range
CYNVLCVS,,,,,loquitur,13,13.569f,13.25,,range
CYNVLCVS,,,,,loquitur,13,13.570a,13.25,,range
CYNVLCVS,,,,,loquitur,13,13.570b,13.25@13.26,,range
CYNVLCVS,,,,,loquitur,13,13.570c,13.26,,range
CYNVLCVS,,,,,loquitur,13,13.570d,13.26,,range
CYNVLCVS,,,,,loquitur,13,13.570e,13.26@13.27,,range
CYNVLCVS,,,,,loquitur,13,13.570f,13.27,,range
CYNVLCVS,,,,,loquitur,13,13.571a,13.27,,"range end"
CYNVLCVS,,,,,loquitur,13,13.610b,13.90@13.91,,"range start"
CYNVLCVS,,,,,loquitur,13,13.610c,13.91,,range
CYNVLCVS,,,,,loquitur,13,13.610d,13.91@13.92,,"range end"
CYNVLCVS,,,,,loquitur,15,15.669b,15.8,,"range start"
CYNVLCVS,,,,,loquitur,15,15.669c,15.8,,range
CYNVLCVS,,,,,loquitur,15,15.669d,15.8@15.9,,"range end"
CYNVLCVS,,,,,loquitur,15,15.671c,15.11,,
CYNVLCVS,,,,,loquitur,15,15.671d,15.11,,"range start"
CYNVLCVS,,,,,loquitur,15,15.671e,15.11,,range
CYNVLCVS,,,,,loquitur,15,15.671f,15.11@15.12,,"range end"
CYNVLCVS,,,,,"tacet ignorans",15,15.679b,15.23@15.24,,
CYNVLCVS,,,,,"tacet ebrius",15,15.685f,15.33,,
CYNVLCVS,,,,,"tacet ebrius",15,15.686a,15.33,,
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.686d,15.34,,"range start"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.686e,15.34,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.686f,15.34,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.687a,15.34@15.35,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.687b,15.35,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.687c,15.35,,"range end"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.697b,15.52@15.53,,"range start"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.697c,15.53,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.697d,15.53,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.697e,15.53@15.54,,"range end"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.697f,15.54,,"range start"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698a,15.54@15.55,,"range end"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698a,15.54@15.55,,"range start"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698b,15.55,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698c,15.55,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698d,15.55,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698e,15.55,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.698f,15.55,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.699a,15.55@15.56,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.699b,15.56,,range
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.699c,15.56,,"range end"
CYNVLCVS,,,,,"somnolentus excitatus loquitur",15,15.701b,15.60@15.62,,
DAPHNVS,,Ephesius,medicus,,,1,1.1e,1.2,"cf. praef. I p. vi",
DAPHNVS,,,,,loquitur,2,2.51a,2.35,"fort. ad III.81c","range start"
DAPHNVS,,,,,loquitur,2,2.51b,2.35@2.36,"fort. ad III.81c","range end"
DAPHNVS,,,,,loquitur,3,3.79a,3.16,"fort. ad III.81c","range start"
DAPHNVS,,,,,loquitur,3,3.79b,3.16,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.79c,3.16,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.79d,3.16,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.79e,3.16@3.17,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.79f,3.17,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.80a,3.17@3.18,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.80b,3.18@3.19,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.80c,3.19,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.80d,3.19,"fort. ad III.81c",range
DAPHNVS,,,,,loquitur,3,3.80e,3.19@3.20,"fort. ad III.81c","range end"
DAPHNVS,,,,,loquitur,3,3.116f,3.85,"cf. adn. c. 88 in.","range start"
DAPHNVS,,,,,loquitur,3,3.117a,3.85,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.117b,3.85,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.117c,3.85@3.86,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.117d,3.86,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.117e,3.86,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.117f,3.86,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.118a,3.86@3.87,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.118b,3.87,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.118c,3.87,"cf. adn. c. 88 in.",range
DAPHNVS,,,,,loquitur,3,3.118d,3.87@3.88,"cf. adn. c. 88 in.","range end"
DAPHNVS,,,,,loquitur,3,3.120b,3.90@3.91,,"range start"
DAPHNVS,,,,,loquitur,3,3.120c,3.91,,range
DAPHNVS,,,,,loquitur,3,3.120d,3.91,,range
DAPHNVS,,,,,loquitur,3,3.120e,3.91@3.92,,range
DAPHNVS,,,,,loquitur,3,3.120f,3.92,,range
DAPHNVS,,,,,loquitur,3,3.121a,3.92,,range
DAPHNVS,,,,,loquitur,3,3.121b,3.92@3.93,,range
DAPHNVS,,,,,loquitur,3,3.121c,3.93,,range
DAPHNVS,,,,,loquitur,3,3.121d,3.93,,range
DAPHNVS,,,,,loquitur,3,3.121e,3.93@3.94,,"range end"
